,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
1945,224,529,121.20816326530613,122.71746031746032,23,22,312,2,305
1946,224,445,121.20816326530613,124.0409977324263,23,20,252,3,221
1947,224,646,121.20816326530613,122.74068027210885,23,16,427,2,422
1948,224,654,121.20816326530613,123.57659863945578,23,9,442,2,430
1949,258,65,121.64934240362813,122.97287981859411,27,47,201,1,193
1950,258,49,121.64934240362813,124.27319727891157,27,44,238,3,209
1951,258,275,121.64934240362813,123.34439909297052,27,26,75,2,17
1952,258,271,121.64934240362813,123.62303854875283,27,28,86,2,13
1953,258,529,121.64934240362813,122.71746031746032,27,22,275,1,271
1954,258,445,121.64934240362813,124.0409977324263,27,20,213,2,187
1955,258,646,121.64934240362813,122.74068027210885,27,16,391,1,388
1956,258,654,121.64934240362813,123.57659863945578,27,9,405,2,396
1957,275,24,123.34439909297052,124.73759637188209,26,42,258,1,251
1958,275,24,123.34439909297052,125.80571428571429,26,45,272,2,251
1959,275,304,123.34439909297052,125.57351473922903,26,19,100,2,29
1960,275,428,123.34439909297052,125.38775510204081,26,20,177,2,153
1961,275,444,123.34439909297052,126.06113378684807,26,19,206,3,169
1962,275,673,123.34439909297052,125.38775510204081,26,12,408,2,398
1963,275,676,123.34439909297052,126.06113378684807,26,11,418,3,401
1964,271,24,123.62303854875283,124.73759637188209,28,42,252,1,247
1965,271,24,123.62303854875283,125.80571428571429,28,45,264,2,247
1966,271,304,123.62303854875283,125.57351473922903,28,19,90,2,33
1967,271,284,123.62303854875283,126.40943310657596,28,25,121,3,13
1968,271,428,123.62303854875283,125.38775510204081,28,20,174,2,157
1969,271,444,123.62303854875283,126.06113378684807,28,19,202,2,173
1970,271,673,123.62303854875283,125.38775510204081,28,12,409,2,402
1971,271,676,123.62303854875283,126.06113378684807,28,11,418,2,405
1972,304,46,125.57351473922903,127.40789115646258,19,48,270,2,258
1973,304,46,125.57351473922903,127.73297052154196,19,47,274,2,258
1974,304,214,125.57351473922903,126.80417233560091,19,23,104,1,90
1975,304,445,125.57351473922903,126.73451247165534,19,19,150,1,141
1976,304,427,125.57351473922903,128.08126984126986,19,20,164,3,123
1977,304,673,125.57351473922903,127.40789115646258,19,10,377,2,369
1978,304,789,125.57351473922903,128.1277097505669,19,11,497,3,485
1979,284,46,126.40943310657596,127.73297052154196,25,47,245,1,238
1980,284,41,126.40943310657596,129.3815873015873,25,47,275,3,243
1981,284,304,126.40943310657596,128.05804988662132,25,21,74,2,20
1982,284,277,126.40943310657596,129.12616780045352,25,21,117,3,7
1983,284,427,126.40943310657596,128.08126984126986,25,20,160,2,143
1984,284,615,126.40943310657596,129.07972789115647,25,9,350,3,331
1985,214,41,126.80417233560091,129.3815873015873,23,47,206,3,173
1986,214,304,126.80417233560091,128.05804988662132,23,21,105,1,90
